asset_tag,asset_class,failure_no,time_to_failure_d,failure_date,failure_mode,severity
PMP-0001,PMP,1,839.9,2017-03-22,Corrosion,4
PMP-0001,PMP,2,1539.27,2019-02-20,Blockage,3
PMP-0001,PMP,3,2668.19,2022-03-25,Wear,2
PMP-0001,PMP,4,3171.42,2023-08-10,Blockage,4
PMP-0001,PMP,5,3872.51,2025-07-11,Wear,2
PMP-0002,PMP,1,315.5,2014-08-08,Leakage,4
PMP-0002,PMP,2,919.81,2016-04-03,Corrosion,4
PMP-0002,PMP,3,3353.95,2022-12-02,Fouling,1
PMP-0003,PMP,1,433.65,2017-03-07,Corrosion,5
PMP-0003,PMP,2,1212.22,2019-04-25,Bearing Failure,1
PMP-0003,PMP,3,1326.88,2019-08-17,Leakage,3
PMP-0003,PMP,4,1838.63,2021-01-10,Leakage,4
PMP-0004,PMP,1,1235.92,2015-06-26,Seal Failure,4
PMP-0004,PMP,2,1927.65,2017-05-18,Corrosion,2
PMP-0004,PMP,3,2688.47,2019-06-18,Corrosion,2
PMP-0005,PMP,1,1843.92,2020-02-24,Blockage,1
PMP-0005,PMP,2,2769.91,2022-09-07,Blockage,1
PMP-0006,PMP,1,572.89,2025-07-11,Seal Failure,2
PMP-0006,PMP,2,898.76,2026-06-02,Fouling,3
PMP-0006,PMP,3,1503.8,2026-10-01,Seal Failure,2
PMP-0006,PMP,4,1920.94,2026-10-01,Seal Failure,5
PMP-0006,PMP,5,2183.53,2026-10-01,Fouling,2
PMP-0007,PMP,1,865.23,2021-10-26,Corrosion,1
PMP-0007,PMP,2,1382.03,2023-03-27,Blockage,1
PMP-0008,PMP,1,925.42,2015-04-27,Blockage,1
PMP-0008,PMP,2,1082.08,2015-10-01,Corrosion,2
PMP-0008,PMP,3,1264.84,2016-03-31,Seal Failure,5
PMP-0008,PMP,4,2029.61,2018-05-05,Corrosion,1
PMP-0009,PMP,1,464.49,2018-01-05,Wear,2
PMP-0009,PMP,2,1367.58,2020-06-26,Wear,1
PMP-0009,PMP,3,1620.23,2021-03-06,Blockage,1
PMP-0010,PMP,1,636.04,2021-04-16,Seal Failure,1
PMP-0010,PMP,2,1531.99,2023-09-28,Fouling,5
PMP-0010,PMP,3,1901.37,2024-10-02,Fouling,3
PMP-0011,PMP,1,520.87,2023-12-30,Corrosion,5
PMP-0011,PMP,2,1244.94,2025-12-23,Blockage,1
PMP-0011,PMP,3,1652.84,2026-10-01,Leakage,5
PMP-0011,PMP,4,2029.65,2026-10-01,Bearing Failure,2
PMP-0012,PMP,1,540.73,2026-05-03,Corrosion,5
PMP-0012,PMP,2,1651.3,2026-10-01,Blockage,4
PMP-0012,PMP,3,1671.14,2026-10-01,Fatigue,3
PMP-0012,PMP,4,2679.93,2026-10-01,Wear,5
PMP-0013,PMP,1,1489.36,2018-04-01,Leakage,4
PMP-0013,PMP,2,1984.31,2019-08-09,Seal Failure,1
PMP-0013,PMP,3,2495.91,2021-01-01,Leakage,4
PMP-0014,PMP,1,540.75,2016-08-16,Corrosion,2
PMP-0014,PMP,2,1519.91,2019-04-22,Blockage,3
PMP-0014,PMP,3,1718.04,2019-11-07,Fouling,2
PMP-0014,PMP,4,1925.76,2020-06-01,Bearing Failure,4
PMP-0014,PMP,5,3454.3,2024-08-08,Wear,3
PMP-0015,PMP,1,905.32,2023-04-09,Fatigue,5
PMP-0015,PMP,2,982.94,2023-06-25,Wear,2
PMP-0015,PMP,3,1345.06,2024-06-22,Fouling,4
PMP-0015,PMP,4,1489.48,2024-11-13,Corrosion,3
PMP-0015,PMP,5,1761.64,2025-08-12,Corrosion,4
PMP-0015,PMP,6,2248.44,2026-10-01,Bearing Failure,3
PMP-0016,PMP,1,1404.5,2017-02-06,Blockage,4
PMP-0016,PMP,2,1524.65,2017-06-06,Fatigue,3
PMP-0016,PMP,3,2256.29,2019-06-08,Bearing Failure,4
PMP-0017,PMP,1,756.08,2016-12-06,Bearing Failure,4
PMP-0017,PMP,2,1106.15,2017-11-21,Seal Failure,1
PMP-0017,PMP,3,1188.87,2018-02-11,Fouling,4
PMP-0017,PMP,4,1692.06,2019-06-30,Blockage,3
PMP-0018,PMP,1,767.95,2021-04-28,Corrosion,1
PMP-0018,PMP,2,1602.54,2023-08-11,Bearing Failure,5
PMP-0018,PMP,3,2457.96,2025-12-13,Leakage,3
PMP-0019,PMP,1,515.51,2026-07-20,Fouling,2
PMP-0019,PMP,2,1133.97,2026-10-01,Blockage,4
PMP-0020,PMP,1,710.33,2018-02-20,Blockage,3
PMP-0020,PMP,2,753.76,2018-04-04,Seal Failure,4
PMP-0020,PMP,3,2173.33,2022-02-22,Bearing Failure,1
PMP-0020,PMP,4,2483.61,2022-12-29,Fatigue,2
PMP-0020,PMP,5,3213.98,2024-12-28,Blockage,4
PMP-0021,PMP,1,723.54,2017-04-24,Bearing Failure,2
PMP-0021,PMP,2,1276.89,2018-10-29,Fouling,5
PMP-0021,PMP,3,1530.06,2019-07-10,Seal Failure,1
PMP-0022,PMP,1,647.85,2022-12-19,Seal Failure,4
PMP-0022,PMP,2,947.28,2023-10-15,Blockage,2
PMP-0022,PMP,3,1840.08,2026-03-26,Fouling,1
PMP-0022,PMP,4,2170.68,2026-10-01,Bearing Failure,3
PMP-0022,PMP,5,2923.5,2026-10-01,Fatigue,4
PMP-0023,PMP,1,868.63,2022-12-11,Fouling,2
PMP-0023,PMP,2,2384.52,2026-10-01,Corrosion,5
PMP-0023,PMP,3,2491.51,2026-10-01,Wear,2
PMP-0023,PMP,4,3755.14,2026-10-01,Bearing Failure,1
PMP-0024,PMP,1,1208.07,2026-05-29,Bearing Failure,2
PMP-0024,PMP,2,1492.53,2026-10-01,Wear,5
PMP-0024,PMP,3,1908.22,2026-10-01,Fatigue,5
PMP-0024,PMP,4,2316.11,2026-10-01,Corrosion,1
PMP-0024,PMP,5,2474.4,2026-10-01,Leakage,5
PMP-0025,PMP,1,786.81,2026-02-01,Corrosion,5
PMP-0025,PMP,2,1336.56,2026-10-01,Bearing Failure,1
PMP-0025,PMP,3,1351.48,2026-10-01,Corrosion,5
PMP-0025,PMP,4,1408.15,2026-10-01,Fatigue,4
PMP-0025,PMP,5,2734.88,2026-10-01,Corrosion,2
PMP-0025,PMP,6,2802.47,2026-10-01,Fatigue,2
PMP-0026,PMP,1,1371.72,2026-05-01,Blockage,4
PMP-0026,PMP,2,1950.72,2026-10-01,Corrosion,5
PMP-0026,PMP,3,2062.2,2026-10-01,Seal Failure,3
PMP-0026,PMP,4,2493.38,2026-10-01,Bearing Failure,4
PMP-0026,PMP,5,2930.67,2026-10-01,Blockage,3
PMP-0027,PMP,1,585.54,2017-12-25,Fatigue,2
PMP-0027,PMP,2,1219.77,2019-09-20,Bearing Failure,1
PMP-0027,PMP,3,1848.49,2021-06-10,Fatigue,4
PMP-0027,PMP,4,2246.13,2022-07-13,Blockage,3
PMP-0027,PMP,5,2792.32,2024-01-10,Fouling,3
PMP-0028,PMP,1,798.45,2016-04-15,Wear,3
PMP-0028,PMP,2,853.72,2016-06-09,Fouling,4
PMP-0028,PMP,3,2281.71,2020-05-07,Blockage,5
PMP-0028,PMP,4,2322.98,2020-06-17,Seal Failure,2
PMP-0028,PMP,5,2420.62,2020-09-23,Fouling,1
PMP-0029,PMP,1,512.98,2017-05-10,Leakage,2
PMP-0029,PMP,2,853.07,2018-04-16,Fatigue,5
PMP-0029,PMP,3,1046.29,2018-10-26,Seal Failure,4
PMP-0029,PMP,4,1227.01,2019-04-25,Fouling,3
PMP-0029,PMP,5,1732.83,2020-09-11,Bearing Failure,5
PMP-0029,PMP,6,2810.79,2023-08-25,Fatigue,5
PMP-0030,PMP,1,726.61,2016-02-05,Blockage,5
PMP-0030,PMP,2,1070.11,2017-01-14,Blockage,2
PMP-0030,PMP,3,2144.25,2019-12-24,Leakage,5
PMP-0031,PMP,1,1280.86,2017-12-30,Bearing Failure,5
PMP-0031,PMP,2,1301.55,2018-01-20,Leakage,2
PMP-0031,PMP,3,1814.46,2019-06-17,Leakage,1
PMP-0031,PMP,4,1984.64,2019-12-04,Fouling,4
PMP-0031,PMP,5,2260.72,2020-09-05,Fouling,4
PMP-0031,PMP,6,2335.84,2020-11-19,Corrosion,4
PMP-0032,PMP,1,589.86,2023-05-01,Fatigue,2
PMP-0032,PMP,2,1191.85,2024-12-23,Fatigue,3
PMP-0032,PMP,3,1384.55,2025-07-04,Seal Failure,2
PMP-0032,PMP,4,1673.0,2026-04-18,Fouling,2
PMP-0032,PMP,5,2460.68,2026-10-01,Corrosion,4
PMP-0033,PMP,1,1461.55,2020-03-15,Leakage,3
PMP-0033,PMP,2,1505.25,2020-04-28,Corrosion,2
PMP-0033,PMP,3,1651.05,2020-09-21,Wear,1
PMP-0033,PMP,4,1864.35,2021-04-22,Fatigue,3
PMP-0033,PMP,5,1907.9,2021-06-04,Leakage,1
PMP-0033,PMP,6,2363.44,2022-09-03,Leakage,2
PMP-0034,PMP,1,718.13,2024-12-02,Leakage,4
PMP-0034,PMP,2,1475.79,2026-10-01,Wear,1
PMP-0035,PMP,1,1213.62,2026-10-01,Blockage,2
PMP-0035,PMP,2,1255.84,2026-10-01,Corrosion,5
PMP-0035,PMP,3,2748.75,2026-10-01,Corrosion,1
PMP-0036,PMP,1,236.69,2017-02-04,Seal Failure,5
PMP-0036,PMP,2,558.77,2017-12-23,Blockage,2
PMP-0036,PMP,3,2115.85,2022-03-29,Blockage,4
PMP-0036,PMP,4,3259.35,2025-05-16,Wear,5
PMP-0037,PMP,1,1129.77,2018-12-23,Leakage,2
PMP-0037,PMP,2,2290.65,2022-02-26,Fatigue,3
PMP-0038,PMP,1,1077.12,2022-04-12,Bearing Failure,3
PMP-0038,PMP,2,1152.46,2022-06-26,Wear,4
PMP-0038,PMP,3,1231.95,2022-09-13,Leakage,3
PMP-0038,PMP,4,1329.1,2022-12-20,Corrosion,1
PMP-0038,PMP,5,1648.93,2023-11-04,Fouling,3
