wo_id,description,asset_tag,asset_class,area,install_date,age_days,task_type,priority,mandatory,estimated_cost_usd,mech_hours,elec_hours,inst_hours,civil_hours,total_craft_hours,duration_days,weibull_beta,weibull_eta,c_safety,c_env,c_prod,c_cost,replace_usd,predecessor_wo_id
WO-00001,Overhaul – Electrical Equipment ELEC-0024,ELEC-0024,ELEC,Unit-200,2018-08-23,2961,Overhaul,Medium,False,432608.5,239.5,22.7,8.5,6.5,277.2,35,2.0,1460,3,1,3,3,24000,
WO-00002,Replacement – Control Valve VLV-0026,VLV-0026,VLV,Tank-Farm,2014-10-09,4375,Replacement,Low,False,113098.0,40.6,11.4,20.0,3.3,75.3,9,1.5,1095,3,2,3,2,13500,
WO-00003,Inspection – Piping/Pipeline Segment PPL-0012,PPL-0012,PPL,Utilities,2022-12-31,1370,Inspection,Medium,False,5185.61,9.5,1.6,4.4,0.4,15.9,2,2.0,3285,4,4,3,3,88000,
WO-00004,Cleaning – Pressure Vessel VSL-0019,VSL-0019,VSL,Unit-200,2014-01-16,4641,Cleaning,Medium,False,15844.97,5.4,0.4,1.1,2.5,9.4,1,2.8,3650,5,5,5,5,290000,
WO-00005,Repair – Instrument/Analyser INST-0114,INST-0114,INST,Offsites,2019-08-06,2613,Repair,Low,False,73788.26,17.4,28.4,3.2,5.3,54.3,7,1.8,730,2,1,3,2,4800,
WO-00006,Inspection – Instrument/Analyser INST-0142,INST-0142,INST,Offsites,2013-03-22,4941,Inspection,High,False,734.91,2.2,1.0,4.2,0.1,7.5,1,1.8,730,2,1,3,2,4800,
WO-00007,Cleaning – Instrument/Analyser INST-0121,INST-0121,INST,Unit-100,2014-11-16,4337,Cleaning,Medium,False,6623.09,21.5,1.9,1.5,9.0,33.9,4,1.8,730,2,1,3,2,4800,
WO-00008,Repair – Instrument/Analyser INST-0082,INST-0082,INST,Tank-Farm,2022-05-05,1610,Repair,Medium,False,16266.45,14.3,21.1,2.9,9.0,47.300000000000004,6,1.8,730,2,1,3,2,4800,
WO-00009,Testing – Instrument/Analyser INST-0007,INST-0007,INST,Unit-100,2017-02-16,3514,Testing,Medium,False,5051.36,10.8,18.8,8.9,1.1,39.6,5,1.8,730,2,1,3,2,4800,
WO-00010,Testing – Instrument/Analyser INST-0111,INST-0111,INST,Flare-System,2014-10-23,4361,Testing,Medium,False,11298.2,4.1,13.5,15.8,0.3,33.7,4,1.8,730,2,1,3,2,4800,
WO-00011,Replacement – Storage Tank TNK-0006,TNK-0006,TNK,Unit-100,2013-04-21,4911,Replacement,Medium,False,18665.17,34.6,5.0,15.8,2.5,57.900000000000006,7,3.5,5475,4,5,3,4,390000,
